Date,close,RSI14,RSI50,STOCH14K,STOCH14D,longOutput,shortOutput
2015/12/30,107.32,37.78338375,44.67631785,17.0465809,16.90940444,0,1
2015/12/31,105.26,33.96737924,43.44441124,15.23640701,16.64579568,1,0
2016/1/4,105.35,34.27967615,43.51384835,16.85754135,16.38017642,0,1
2016/1/5,102.71,29.82393273,41.97141968,13.9184391,15.33746248,0,1
2016/1/6,100.7,26.95153973,40.84655801,14.76565149,15.18054398,0,1
2016/1/7,96.45,22.10394508,38.61373614,4.468286066,11.05079222,1,0
2016/1/8,96.96,23.8734222,39.02189358,3.626558803,7.620165453,1,0
2016/1/11,98.53,29.20489136,40.2694394,6.776386896,4.957077255,1,0
2016/1/12,99.96,33.75561769,41.38401353,15.7855282,8.729491299,0,1
2016/1/13,97.39,30.02070754,40.01469987,16.8974359,13.153117,1,0
2016/1/14,99.52,36.31045764,41.64756283,20.71661891,17.799861,0,1
2016/1/15,97.13,32.75316128,40.38876019,15.85865597,17.82423693,0,1
2016/1/19,96.66,32.08741657,40.14527287,16.47695641,17.6840771,1,0
2016/1/20,96.79,32.4961248,40.24694346,14.62481596,15.65347612,0,1
2016/1/21,96.3,31.7212164,39.98571026,17.48513387,16.19563542,1,0
2016/1/22,101.42,46.16660238,43.87022343,35.85876775,22.6562392,0,1
2016/1/25,99.44,42.42826447,42.77760739,44.65084808,32.66491657,1,0
2016/1/26,99.99,43.78985808,43.1787327,62.06648479,47.52536687,0,1
2016/1/27,93.42,33.57483352,39.77972295,40.93861234,49.2186484,1,0
2016/1/28,94.09,35.23406371,40.26901209,30.99472819,44.66660844,1,0
2016/1/29,97.34,42.70970252,42.57831672,24.57797086,32.17043713,0,1
2016/2/1,96.43,41.27318042,42.11312608,38.9861415,31.51961352,0,1
2016/2/2,94.48,38.30037366,41.13053244,40.40846098,34.65752445,1,0
2016/2/3,96.35,42.57219096,42.44461707,36.7979577,38.73085339,1,0
2016/2/4,96.6,43.1389883,42.61934851,37.41794311,38.20812059,0,1
2016/2/5,94.02,38.87478469,41.29903045,35.74033552,36.65207877,1,0
2016/2/8,95.01,41.27362503,42.00254023,30.85339168,34.67055677,0,1
2016/2/9,94.99,41.23841532,41.99216586,24.98176513,30.52516411,0,1
2016/2/10,94.27,39.91819074,41.61458644,25.89350839,27.2428884,0,1
2016/2/11,93.7,38.85759756,41.31449145,21.11597374,23.99708242,1,0
2016/2/12,93.99,39.73490468,41.53337757,17.91574418,21.6417421,1,0
2016/2/16,96.64,47.19157486,43.49841045,39.67896354,26.23689382,1,0
2016/2/17,98.12,50.84928629,44.56028346,67.71929831,41.77133535,0,1
2016/2/18,96.26,46.49104342,43.51160541,80.85538745,62.75121643,0,1
2016/2/19,96.04,45.98896149,43.38836556,70.48982709,73.02150428,1,0
2016/2/22,96.88,48.28542498,44.00626252,60.37037037,70.57186164,0,1
2016/2/23,94.69,43.13591881,42.76451675,52.06349206,60.97456317,1,0
2016/2/24,96.1,47.05121989,43.80624674,52.38095238,54.9382716,1,0
2016/2/25,96.76,48.82734912,44.29055004,51.74603175,52.06349206,1,0
2016/2/26,96.91,49.24406251,44.40167519,63.49206349,55.87301587,0,1
2016/2/29,96.69,48.61871827,44.26951715,66.61375661,60.61728395,1,0
2016/3/1,100.53,58.52010748,47.07518384,76.90560277,69.00380763,1,0
2016/3/2,100.75,59.00749211,47.23049108,86.81954425,76.77963455,1,0
2016/3/3,101.5,60.70268959,47.76372413,97.65553209,87.12689304,1,0
2016/3/4,103.01,63.93629155,48.82608546,96.26855437,93.58121024,0,1
2016/3/7,101.87,59.92707599,48.07289954,90.822494,94.91552682,0,1
2016/3/8,101.03,57.08651191,47.52172287,82.93384468,90.00829768,1,0
2016/3/9,101.12,57.3199407,47.58742254,76.89357622,83.54997163,1,0
2016/3/10,101.17,57.45838871,47.62459424,74.65643976,78.16128689,1,0
2016/3/11,102.26,60.46890981,48.43805501,78.58740812,76.7124747,1,0
2016/3/14,102.52,61.17469757,48.63224221,83.06168105,78.76850964,1,0
2016/3/15,104.58,66.30742384,50.15007392,89.29302819,83.64737245,1,0
2016/3/16,105.97,69.26042352,51.14404113,92.89015049,88.41495324,0,1
2016/3/17,105.8,68.47002077,51.01709154,94.54684865,92.24334244,1,0
2016/3/18,105.92,68.74119764,51.10451164,94.43172561,93.95624158,0,1
2016/3/21,105.91,68.68818073,51.09675716,88.35555926,92.44471117,1,0
2016/3/22,106.72,70.661958,51.70248455,86.49649612,89.76126033,0,1
2016/3/23,106.13,67.3325532,51.23084309,81.8701623,85.57407256,0,1
2016/3/24,105.67,64.77015639,50.86171989,80.31111111,82.89258984,0,1
2016/3/28,105.19,62.11385192,50.47448978,73.51111111,78.56412817,1,0
2016/3/29,107.68,69.17597191,52.39307136,79.78673647,77.8696529,1,0
2016/3/30,109.56,73.2329149,53.77276189,85.79543495,79.69776085,0,1
2016/3/31,108.99,70.21543894,53.29491559,91.38497157,85.65571433,1,0
2016/4/1,109.99,72.36664008,54.02628129,90.20595115,89.12878589,1,0
2016/4/4,111.12,74.59918683,54.84166258,88.72067393,90.10386555,0,1
